GPDI,Inflation
87.096,29.57333333
86.377,29.59
75.963,29.78
78.378,29.84
84.108,29.83
90.917,29.94666667
92.931,29.99
98.074,30.10666667
96.706,30.22
98.16,30.30666667
94.968,30.38
99.689,30.47666667
101.65,30.53333333
104.612,30.72
107.189,30.80333333
110.474,30.93
110.518,30.98
112.631,31.05
114.984,31.19333333
126.542,31.29
127.052,31.49
131.237,31.58333333
133.752,31.75
144.2,32.04666667
143.501,32.33666667
143.194,32.61666667
145.855,32.88333333
142.811,32.96666667
137.495,33.16666667
142.835,33.5
147.653,33.86666667
152.288,34.2
158.943,34.53333333
155.683,35
160.76,35.43333333
172.388,35.86666667
172.721,36.43333333
177.564,36.93333333
171.573,37.5
168.113,38.1
171.455,38.63333333
173.904,39.03333333
166.754,39.6
189.495,39.93333333
197.329,40.3
202.058,40.7
198.411,41
212.968,41.33333333
226.798,41.6
233.09,41.93333333
239.715,42.36666667
254.313,43.03333333
268.196,43.93333333
264.335,44.8
280.858,45.93333333
268.361,47.3
277.391,48.56666667
271.013,49.93333333
281.339,51.46666667
244.306,52.56666667
243.281,53.2
265.192,54.26666667
276.236,55.26666667
304.638,55.9
322.303,56.4
328.307,57.3
337.65,58.13333333
360.313,59.2
389.703,60.23333333
414.134,61.06666667
422.299,61.96666667
434.799,63.03333333
470.584,64.46666667
492.368,65.96666667
515.755,67.5
525.809,69.2
539.293,71.4
545.621,73.7
547.875,76.03333333
554.562,79.03333333
519.294,81.7
495.071,83.23333333
551.472,85.56666667
619.381,87.93333333
609.843,89.76666667
652.297,92.26666667
643.395,93.76666667
588.318,94.6
593.621,95.96666667
592.954,97.63333333
549.242,97.93333333
565.52,98
613.783,99.13333333
652.269,100.1
718.496,101.1
790.872,102.5333333
818.894,103.5
838.852,104.4
831.741,105.3
809.865,106.2666667
827.04,107.2333333
822.157,107.9
859.545,109
863.457,109.5666667
855.237,109.0333333
835.832,109.7
842.063,110.4666667
871.196,111.8
874.588,113.0666667
876.466,114.2666667
946.459,115.3333333
908.569,116.2333333
934.525,117.5666667
942.009,119
962.748,120.3
1005.487,121.6666667
1001.047,123.6333333
996.46,124.6
995.809,125.8666667
1010.838,128.0333333
1014.72,129.3
1000.785,131.5333333
947.453,133.7666667
924.569,134.7666667
926.541,135.5666667
947.476,136.6
978.788,137.7333333
956.817,138.6666667
1013.084,139.7333333
1024.162,140.8
1057.962,142.0333333
1083.829,143.0666667
1094.479,144.1
1095.852,144.7666667
1153.142,145.9666667
1201.675,146.7
1264.948,147.5333333
1251.749,148.9
1307.566,149.7666667
1327.586,150.8666667
1303.988,152.1
1303.248,152.8666667
1335.135,153.7
1355.353,155.0666667
1418.388,156.4
1474.35,157.3
1480.128,158.6666667
1522.404,159.6333333
1590.218,160
1625.251,160.8
1644.529,161.6666667
1712.324,162
1695.773,162.5333333
1741.623,163.3666667
1796.964,164.1333333
1853.063,164.7333333
1848.341,165.9666667
1893.735,167.2
1953.097,168.4333333
1950.65,170.1
2075.786,171.4333333
2059.969,173
2067.227,174.2333333
1971.333,175.9
1973.033,177.1333333
1944.909,177.6333333
1850.091,177.5
1912.659,178.0666667
1933.282,179.4666667
1933.197,180.4333333
1942.531,181.5
1960.221,183.3666667
1972.386,183.0666667
2044.304,184.4333333
2131.311,185.1333333
2154.052,186.7
2262.607,188.1666667
2318.272,189.3666667
2390.082,191.4
2486.068,192.3666667
2476.474,193.6666667
2531.076,196.6
2645.263,198.4333333
2709.74,199.4666667
2709.252,201.2666667
2709.42,203.1666667
2675.406,202.3333333
2664.295,204.317
2699.217,206.631
2685.969,207.939
2642.56,210.4896667
2563.701,212.7696667
2540.595,215.5376667
2498.242,218.861
2307.915,213.8486667
2014.878,212.3776667
1863.65,213.507
1841.416,215.344
1998.71,217.03
2038.161,217.374
2148.795,217.2973333
2236.495,217.9343333
2238.44,219.699
2205.962,222.0436667
2297.352,224.5683333
2322.84,226.0326667
2504.095,227.0473333
2567.75,228.326
2636.863,228.808
2644.119,229.841
2638.282,231.3693333
2746.42,232.2993333
2780.242,232.045
2892.354,233.3
2934.291,234.1626667
2922.765,235.621
3059.096,236.8723333
3142.047,237.4783333
3172.016,236.8883333
3282.283,235.355
3291.104,236.96
3303.66,237.855
3276.879,237.837
3244.317,237.6893333
3246.381,239.5903333
3261.571,240.6073333
3360.952,242.1346667
3363.101,243.8386667
3432.968,244.12
3500.142,245.287
3574.446,247.2383333
3645.635,249.3216667
3662.727,250.679
3788.692,251.6863333
3802.028,252.711
3850.171,253.3856667
