observation_date,CPIAUCSL
1/1/1997,160.525
1/1/1998,163.008
1/1/1999,166.583
1/1/2000,172.192
1/1/2001,177.042
1/1/2002,179.867
1/1/2003,184
1/1/2004,188.908
1/1/2005,195.267
1/1/2006,201.558
1/1/2007,207.344
1/1/2008,215.254
1/1/2009,214.565
1/1/2010,218.076
1/1/2011,224.923
1/1/2012,229.586
1/1/2013,232.952
1/1/2014,236.715
1/1/2015,237.002
1/1/2016,240.005
1/1/2017,245.121
1/1/2018,251.1
1/1/2019,255.653
1/1/2020,258.856
1/1/2021,270.968
1/1/2022,292.625
1/1/2023,304.704
