DATE,GPDI
4/1/1960,87.096
7/1/1960,86.377
10/1/1960,75.963
1/1/1961,78.378
4/1/1961,84.108
7/1/1961,90.917
10/1/1961,92.931
1/1/1962,98.074
4/1/1962,96.706
7/1/1962,98.16
10/1/1962,94.968
1/1/1963,99.689
4/1/1963,101.65
7/1/1963,104.612
10/1/1963,107.189
1/1/1964,110.474
4/1/1964,110.518
7/1/1964,112.631
10/1/1964,114.984
1/1/1965,126.542
4/1/1965,127.052
7/1/1965,131.237
10/1/1965,133.752
1/1/1966,144.2
4/1/1966,143.501
7/1/1966,143.194
10/1/1966,145.855
1/1/1967,142.811
4/1/1967,137.495
7/1/1967,142.835
10/1/1967,147.653
1/1/1968,152.288
4/1/1968,158.943
7/1/1968,155.683
10/1/1968,160.76
1/1/1969,172.388
4/1/1969,172.721
7/1/1969,177.564
10/1/1969,171.573
1/1/1970,168.113
4/1/1970,171.455
7/1/1970,173.904
10/1/1970,166.754
1/1/1971,189.495
4/1/1971,197.329
7/1/1971,202.058
10/1/1971,198.411
1/1/1972,212.968
4/1/1972,226.798
7/1/1972,233.09
10/1/1972,239.715
1/1/1973,254.313
4/1/1973,268.196
7/1/1973,264.335
10/1/1973,280.858
1/1/1974,268.361
4/1/1974,277.391
7/1/1974,271.013
10/1/1974,281.339
1/1/1975,244.306
4/1/1975,243.281
7/1/1975,265.192
10/1/1975,276.236
1/1/1976,304.638
4/1/1976,322.303
7/1/1976,328.307
10/1/1976,337.65
1/1/1977,360.313
4/1/1977,389.703
7/1/1977,414.134
10/1/1977,422.299
1/1/1978,434.799
4/1/1978,470.584
7/1/1978,492.368
10/1/1978,515.755
1/1/1979,525.809
4/1/1979,539.293
7/1/1979,545.621
10/1/1979,547.875
1/1/1980,554.562
4/1/1980,519.294
7/1/1980,495.071
10/1/1980,551.472
1/1/1981,619.381
4/1/1981,609.843
7/1/1981,652.297
10/1/1981,643.395
1/1/1982,588.318
4/1/1982,593.621
7/1/1982,592.954
10/1/1982,549.242
1/1/1983,565.52
4/1/1983,613.783
7/1/1983,652.269
10/1/1983,718.496
1/1/1984,790.872
4/1/1984,818.894
7/1/1984,838.852
10/1/1984,831.741
1/1/1985,809.865
4/1/1985,827.04
7/1/1985,822.157
10/1/1985,859.545
1/1/1986,863.457
4/1/1986,855.237
7/1/1986,835.832
10/1/1986,842.063
1/1/1987,871.196
4/1/1987,874.588
7/1/1987,876.466
10/1/1987,946.459
1/1/1988,908.569
4/1/1988,934.525
7/1/1988,942.009
10/1/1988,962.748
1/1/1989,1005.487
4/1/1989,1001.047
7/1/1989,996.46
10/1/1989,995.809
1/1/1990,1010.838
4/1/1990,1014.72
7/1/1990,1000.785
10/1/1990,947.453
1/1/1991,924.569
4/1/1991,926.541
7/1/1991,947.476
10/1/1991,978.788
1/1/1992,956.817
4/1/1992,1013.084
7/1/1992,1024.162
10/1/1992,1057.962
1/1/1993,1083.829
4/1/1993,1094.479
7/1/1993,1095.852
10/1/1993,1153.142
1/1/1994,1201.675
4/1/1994,1264.948
7/1/1994,1251.749
10/1/1994,1307.566
1/1/1995,1327.586
4/1/1995,1303.988
7/1/1995,1303.248
10/1/1995,1335.135
1/1/1996,1355.353
4/1/1996,1418.388
7/1/1996,1474.35
10/1/1996,1480.128
1/1/1997,1522.404
4/1/1997,1590.218
7/1/1997,1625.251
10/1/1997,1644.529
1/1/1998,1712.324
4/1/1998,1695.773
7/1/1998,1741.623
10/1/1998,1796.964
1/1/1999,1853.063
4/1/1999,1848.341
7/1/1999,1893.735
10/1/1999,1953.097
1/1/2000,1950.65
4/1/2000,2075.786
7/1/2000,2059.969
10/1/2000,2067.227
1/1/2001,1971.333
4/1/2001,1973.033
7/1/2001,1944.909
10/1/2001,1850.091
1/1/2002,1912.659
4/1/2002,1933.282
7/1/2002,1933.197
10/1/2002,1942.531
1/1/2003,1960.221
4/1/2003,1972.386
7/1/2003,2044.304
10/1/2003,2131.311
1/1/2004,2154.052
4/1/2004,2262.607
7/1/2004,2318.272
10/1/2004,2390.082
1/1/2005,2486.068
4/1/2005,2476.474
7/1/2005,2531.076
10/1/2005,2645.263
1/1/2006,2709.74
4/1/2006,2709.252
7/1/2006,2709.42
10/1/2006,2675.406
1/1/2007,2664.295
4/1/2007,2699.217
7/1/2007,2685.969
10/1/2007,2642.56
1/1/2008,2563.701
4/1/2008,2540.595
7/1/2008,2498.242
10/1/2008,2307.915
1/1/2009,2014.878
4/1/2009,1863.65
7/1/2009,1841.416
10/1/2009,1998.71
1/1/2010,2038.161
4/1/2010,2148.795
7/1/2010,2236.495
10/1/2010,2238.44
1/1/2011,2205.962
4/1/2011,2297.352
7/1/2011,2322.84
10/1/2011,2504.095
1/1/2012,2567.75
4/1/2012,2636.863
7/1/2012,2644.119
10/1/2012,2638.282
1/1/2013,2746.42
4/1/2013,2780.242
7/1/2013,2892.354
10/1/2013,2934.291
1/1/2014,2922.765
4/1/2014,3059.096
7/1/2014,3142.047
10/1/2014,3172.016
1/1/2015,3282.283
4/1/2015,3291.104
7/1/2015,3303.66
10/1/2015,3276.879
1/1/2016,3244.317
4/1/2016,3246.381
7/1/2016,3261.571
10/1/2016,3360.952
1/1/2017,3363.101
4/1/2017,3432.968
7/1/2017,3500.142
10/1/2017,3574.446
1/1/2018,3645.635
4/1/2018,3662.727
7/1/2018,3788.692
10/1/2018,3802.028
1/1/2019,3850.171
4/1/2019,3894.868
