GeoName,2021,2022,2023
Alabama,5049196,5076181,5117673
Alaska,734420,734442,736510
Arizona,7274078,7377566,7473027
Arkansas,3026870,3047704,3069463
California,39142565,39142414,39198693
Colorado,5814036,5850935,5901339
Connecticut,3606607,3617925,3643023
Delaware,1005062,1020625,1036423
Florida,21831949,22379312,22904868
Georgia,10792060,10931805,11064432
Hawaii,1447029,1440359,1441387
Idaho,1904848,1944299,1971122
Illinois,12700641,12621821,12642259
Indiana,6815907,6844545,6880131
Iowa,3198613,3202820,3218414
Kansas,2938338,2937324,2951500
Kentucky,4507583,4519233,4550595
Louisiana,4627971,4593687,4588071
Maine,1378931,1390922,1399646
Maryland,6179403,6192440,6217062
Massachusetts,7000474,7022468,7066568
Michigan,10041351,10050877,10083356
Minnesota,5718660,5721621,5753048
Mississippi,2947209,2941939,2943172
Missouri,6171374,6179414,6208038
Montana,1106522,1122095,1131302
Nebraska,1964537,1972246,1987864
Nevada,3148141,3176116,3214363
New Hampshire,1387677,1396678,1402199
New Jersey,9270541,9295227,9379642
New Mexico,2117333,2113868,2121164
New York,19848276,19703747,19737367
North Carolina,10564320,10710793,10881189
North Dakota,777966,781057,789047
Ohio,11767344,11777874,11824034
Oklahoma,3992238,4026229,4063882
Oregon,4254280,4247372,4253653
Pennsylvania,13015571,12984990,13017721
Rhode Island,1097246,1099498,1103429
South Carolina,5194274,5287935,5387830
South Dakota,896492,909723,918305
Tennessee,6965740,7062217,7148304
Texas,29570351,30113488,30727890
Utah,3339738,3391011,3443222
Vermont,647210,648142,648708
Virginia,8658910,8683414,8734685
Washington,7743760,7794123,7857320
West Virginia,1785618,1774122,1770495
Wisconsin,5881608,5903975,5930405
Wyoming,579636,581978,585067
